"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2008 Inflation Adjusted Dollars)"
Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14006_001
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410796,2824780,1405062,27865,64550,1130,37065,50344,2830500,531559,2298941,1308156,573850,183878,61906,22741,43733
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316456,1261279,12332,7090,10760,323,3509,21163,928594,95454,833140,508180,235518,82416,23392,9851,46581
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5633597,3449411,1625411,15989,285912,1597,135287,119990,3741795,449261,3292534,2305668,1316442,577157,191691,79956,70545
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6497967,5363392,406998,14329,322218,561,256616,133853,4397927,496627,3901300,2729168,1675267,719218,220497,94140,65401
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003422,7964843,1388878,54169,231681,2813,144094,216944,6627768,788503,5839265,3775031,1640173,624495,177502,65401,48591
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220393,4601081,230599,54792,183776,463,55598,94084,3456013,290765,3165248,2214387,1089354,344728,112197,39375,57288
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2938618,1755352,1101494,12156,22464,684,20699,25769,1862456,374441,1488015,928021,361051,126687,37977,14586,37790
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5911605,4975446,658199,20762,83705,4223,50712,118558,3915849,529450,3386399,2133039,979207,357356,101605,38020,46867
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967440,867054,5205,58531,6473,724,6184,23269,648277,58766,589511,389192,175831,54255,18093,6189,43654
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783432,1585708,71178,13641,26699,882,46526,38798,1151267,113566,1037701,696806,312412,99321,32734,10966,49693
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600167,2008916,192216,34517,156681,11229,112916,83692,1710130,281648,1428482,941879,373815,119076,36306,12175,56361
