"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 111","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2010 Inflation Adjusted Dollars)"
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18843326,14411461,2997377,67854,452580,11525,495530,406999,13077179,1899051,11178128,7261544,3371251,1199375,388649,133967,44409
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9712587,5895315,2976758,22055,316098,2533,320937,178891,6235623,979559,5256064,3431088,1701758,608116,185350,66519,46430
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363621,335563,20345,2660,530937,134881,15126,324109,926928,93599,833329,568066,273574,89210,31805,12187,63030
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1571450,1449223,8871,21791,18718,2095,34159,36593,987829,115466,872363,589685,240928,75710,25332,10415,43490
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12843166,9305662,1866145,29545,590174,4008,805013,242619,8465762,1110491,7355271,5019095,2603917,974292,271499,97422,52972
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6490621,5522578,587044,16320,102920,1201,131882,128676,4229798,548278,3681520,2159660,959113,341920,92907,36579,44613
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049883,2791596,95190,9147,51756,498,46395,55301,2018785,190644,1828141,1146993,503551,158599,48230,18617,47961
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2859169,2436845,164819,25819,70972,888,70434,89392,1840681,199609,1641072,1129729,547888,193509,54700,21562,48257
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4346266,3837101,336561,9201,47895,2290,41764,71454,2903308,524691,2378617,1381792,596383,236453,67252,21479,40062
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4544228,2855924,1455478,28913,71476,4388,58283,69766,2945907,531876,2414031,1401686,630895,206821,69989,26346,42505
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327567,1265687,15121,6876,13678,601,2034,23570,937014,90787,846227,523830,250969,88619,24322,8776,45815
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5785982,3408003,1701903,18928,319965,2122,175162,159899,3873474,462627,3410847,2406258,1396843,633926,207079,93467,68854
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6557254,5320148,443271,13481,353211,1083,245326,180734,4458898,485401,3973497,2805033,1738899,746592,221128,98849,62072
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9877574,7834808,1385311,57394,241095,2268,114906,241792,6569801,741122,5828679,3796460,1655181,631421,165402,62418,45413
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5310584,4573199,273680,57270,209834,2078,66664,127859,3528096,288905,3239191,2275612,1122836,362823,110287,39285,55459
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970036,1767532,1109263,12478,26354,196,22381,31832,1904406,361791,1542615,959179,371519,134554,37661,15466,36851
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5996231,4983469,703257,21642,93404,4757,57171,132531,3984849,523635,3461214,2191477,1019819,380467,107587,41515,44301
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,990898,890335,4835,61645,5494,592,4114,23883,672952,55633,617319,416237,193860,60504,21965,8865,42666
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1830429,1627046,80630,17005,29248,2257,34134,40109,1184379,114212,1070167,734415,339071,106745,33382,13840,48408
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704642,1970730,216792,26812,197350,16279,171561,105118,1789530,274661,1514869,983536,388125,131536,43342,13713,51001
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316759,1238424,15448,2888,28125,297,10430,21147,907755,77536,830219,559539,297481,112352,28369,10714,61042
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8801624,6103285,1186144,18956,725077,2500,536350,229312,5970904,713734,5257170,3495924,2113316,791379,223987,83950,67681
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2065932,1515500,40588,195112,25323,1195,228992,59222,1341329,223417,1117912,763186,335076,145087,44741,23296,42090
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19392283,12775673,3015272,71792,1433875,6597,1575686,513388,13089848,1982107,11107741,7480506,4259792,1826461,519261,172793,54148
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9561558,6666233,2050395,111756,211705,4404,298308,218757,6325621,964827,5360794,3611152,1673319,550201,164063,68600,43326
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674499,607058,8601,33384,7679,424,3578,13775,442946,42763,400183,280312,122299,34885,10339,4461,48670
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536182,9569990,1412002,21331,197489,1492,93309,240569,7720849,915093,6805756,4086773,1900790,690263,195872,75899,45090
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3761702,2764307,270132,261746,65232,4234,98269,297782,2449213,337222,2111991,1327136,560541,183941,53614,20654,42072
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3838957,3262714,70368,49975,141586,12769,163581,137964,2614886,294137,2320749,1667433,751803,273670,87282,34569,46560
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12709630,10492442,1376234,20429,350234,2758,228468,239065,8654829,1000687,7654142,4407827,2343485,898262,269497,105831,49288
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052886,857493,62822,3176,30939,1104,68424,28928,709979,117129,592850,399858,214586,86398,24167,10190,52254
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4636312,3110798,1301988,12675,53658,1642,71127,84424,3074357,489881,2584476,1646699,754491,270150,72095,29588,42018
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816463,701880,10743,73601,8001,82,6060,16096,532379,55215,477164,308737,139786,41026,12657,4461,45904
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6356897,4982270,1066253,16704,93038,2039,88596,107997,4242391,693842,3548549,2126418,980364,359237,111692,47018,41461
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25257114,18716520,2970243,129162,969500,18528,1905113,548048,15772122,3048321,12723801,8690560,4091770,1358049,390567,159992,48615
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2776469,2466280,28701,34663,51846,26013,103476,65490,1584824,149036,1435788,1048105,465141,149514,44416,19595,54744
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625960,597325,6564,1542,7813,186,2215,10315,431042,38756,392286,256557,144831,57193,16011,6872,49406
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8024617,5573934,1569497,24477,438003,6709,192699,219298,5361301,721676,4639625,3275679,1835618,759832,205970,80572,60674
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6744496,5308097,239112,99736,485029,39889,269378,303255,4505657,459292,4046365,2973787,1399238,501354,147928,60926,55631
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1853973,1740520,57509,3094,10838,701,5152,36159,1294747,217221,1077526,538980,226845,85995,24898,10269,38218
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691047,4951854,350438,47703,129033,1357,89857,120805,3800295,375425,3424870,2159574,1001353,341501,92844,37035,49001
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564460,513623,4612,14581,3803,347,12376,15118,370951,28638,342313,230330,89474,31242,8686,4290,53512
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3722133,2523383,281915,6470,13248,0,399238,497879,2444933,746820,1698113,1074404,544421,154467,50143,19116,18862
