"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2014 Inflation Adjusted Dollars)"
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19893297,15113860,3221160,53014,524583,15149,489726,475805,14041196,1795693,12245503,8094203,3830504,1381841,416925,155131,47463
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10097343,6043917,3163620,25301,371688,6638,282876,203303,6576408,943888,5632520,3762553,1910600,710867,207354,81260,49321
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419561,360711,30729,2191,534189,147612,13830,330299,974586,80889,893697,616030,302339,102024,35911,13896,69592
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634464,1498107,11354,21550,24009,1984,36664,40796,1045193,103178,942015,647153,261522,86414,28159,11848,47861
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12880580,9290445,1837715,27995,663454,5825,763579,291567,8639076,1021866,7617210,5311529,2833407,1096385,287519,109342,57444
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6596855,5547390,612890,13063,130250,3216,143931,146115,4342916,501670,3841246,2353233,1070602,387709,97531,41896,49446
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3107126,2837758,97874,9617,68419,2576,30497,60385,2062734,162390,1900344,1245454,570426,186483,56639,24730,53712
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904021,2466138,171976,24500,76245,2471,63129,99562,1881521,182884,1698637,1199887,593084,211792,55342,22180,52504
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4413457,3858261,350141,10526,54542,2650,43094,94243,2967181,461039,2506142,1502559,659701,272738,75486,27697,42958
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4649676,2919142,1502184,26009,78675,2816,42238,78612,3060688,502503,2558185,1524657,701596,237736,77141,29268,44555
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330089,1260278,16557,8322,14447,36,2947,27502,959407,79414,879993,569706,281781,95891,26517,12171,49462
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5976407,3432582,1774618,14657,369996,2086,209461,173007,4062813,422614,3640199,2596273,1553684,712369,223205,101702,73971
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6745408,5347420,477527,15599,413079,1329,279928,210526,4654351,479847,4174504,3013472,1916729,838736,243981,112845,69160
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9909877,7816586,1375194,55729,281404,2260,121859,256845,6680525,677590,6002935,4022088,1827339,721977,192659,77356,49847
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5457173,4606959,312432,56934,250352,2392,85069,143035,3672583,272508,3400075,2456698,1258534,424440,128484,52752,61481
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2994079,1761195,1132556,12252,24009,458,25266,38343,1950710,335974,1614736,1028800,410953,156703,43847,17757,39680
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6063589,4990271,711601,26387,107426,3763,73680,150461,4076767,453826,3622941,2343186,1120711,424042,116312,48246,48363
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023579,914571,5812,70035,8176,276,2856,21853,695850,51402,644448,431283,203839,68438,19832,8545,46328
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881503,1660976,88620,17959,38892,1056,30095,43905,1224701,119161,1105540,771980,361769,114040,31989,13614,52686
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2839099,1931264,242994,30503,221841,18553,268796,125148,1919598,285569,1634029,1093215,443463,151990,46411,16615,51450
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326813,1239410,17009,2339,33974,437,6252,27392,931304,73003,858301,592308,326030,124307,31740,14055,66532
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8938175,6053656,1212054,15270,827493,2595,621199,205908,6127931,669926,5458005,3728282,2291268,875295,241324,94861,71919
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085572,1525459,41277,198450,31566,592,224820,63408,1373822,217112,1156710,794426,362934,155987,45512,26164,44803
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19746227,12634312,3093476,81512,1613255,4574,1746680,572418,13539612,1930575,11609037,8009130,4667982,2016832,557330,194205,58878
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9943964,6869207,2154387,111276,246721,5768,322251,234354,6661937,902726,5759211,3986926,1912564,672707,191164,87670,46556
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739482,654375,14910,39669,8899,173,4680,16776,478850,37266,441584,308191,131316,36443,11664,5438,59029
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11594163,9522264,1419214,22761,225438,3223,103388,297875,7857460,836031,7021429,4354866,2092218,790471,214152,88016,49308
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3878051,2827481,287254,289732,76654,4995,93987,297948,2529885,321930,2207955,1406520,611368,205569,59756,23619,47529
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3970239,3358250,71042,46761,159891,14113,141502,178680,2746957,283446,2463511,1796733,846246,318182,94069,39637,51075
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12787209,10408847,1416865,27367,399285,4197,241491,289157,8858865,934968,7923897,4703570,2567725,1013605,283759,124377,53234
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055173,858236,70600,5579,35676,385,57362,27335,725871,103245,622626,414260,220894,89486,27652,13552,54891
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832482,3254145,1320373,14155,68976,2959,69517,102357,3260929,451966,2808963,1819740,856973,313056,80237,33301,45238
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853175,724768,14830,71811,11017,442,6774,23533,555488,46374,509114,338992,154216,43108,13105,5723,50979
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6549352,5084404,1105318,17139,102508,3409,99109,137465,4425073,628991,3796082,2322535,1118307,400506,120424,52699,44361
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26956958,20265860,3234898,121708,1161951,20055,1488773,663713,17087888,3045695,14042193,9743339,4749029,1644182,459557,192664,53035
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2942902,2568018,33520,32874,66060,25425,138510,78495,1704734,146524,1558210,1166348,530203,176371,49193,23118,60922
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626562,591853,6164,2513,9933,365,2872,12862,438279,35047,403232,268880,152901,61429,17776,7523,54166
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8326289,5739681,1601449,21233,510871,4553,174873,273629,5623295,644989,4978306,3595930,2066339,892467,237466,99818,64902
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7061530,5484997,251336,95613,554101,45359,247151,382973,4784484,458561,4325923,3235199,1584776,579091,168632,68225,61366
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850326,1731464,68279,3716,11642,300,4172,30753,1296350,192046,1104304,571386,248257,95823,25426,10948,41059
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757564,4966282,363916,50703,150258,1384,105647,119374,3898162,336636,3561526,2316858,1108094,371550,102157,41608,52622
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584153,531680,6320,15073,5541,837,11808,12894,388962,28842,360120,253361,103333,33776,9969,4599,57055
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3548397,2520447,299398,10710,8810,495,481724,226813,2400677,627779,1772898,1102962,586712,169579,55936,23866,18928
