"FIPS","Geographic Identifier","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District 110","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Population 25 Years and Over:","Population 25 Years and Over: Less than High School","Population 25 Years and Over: High School Graduate or More (Includes Equivalency)","Population 25 Years and Over: Some College or More","Population 25 Years and Over: Bachelor's Degree or More","Population 25 Years and Over: Master's Degree or More","Population 25 Years and Over: Professional School Degree or More","Population 25 Years and Over: Doctorate Degree","Median Household Income (In 2012 Inflation Adjusted Dollars)"
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19317568,14742516,3105799,51471,488052,11609,459361,458760,13503747,1821458,11682289,7662094,3623069,1293133,418610,146350,45040
"13","04000US13","Georgia","Georgia","ga","040","00","ACSSF","0000001",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9919945,5992846,3063367,24166,337015,2882,297813,201856,6403838,960025,5443813,3632947,1807275,666518,197919,74746,47209
"15","04000US15","Hawaii","Hawaii","hi","040","00","ACSSF","0000001",,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392313,347252,25613,3153,531663,145408,15499,323725,952281,91486,860795,591491,286216,99630,33064,10581,66259
"16","04000US16","Idaho","Idaho","id","040","00","ACSSF","0000001",,,,,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595728,1458371,8759,20764,20613,1686,46011,39524,1012786,103357,909429,628967,257893,82873,25962,11035,45489
"17","04000US17","Illinois","Illinois","il","040","00","ACSSF","0000001",,,,,"17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12875255,9358637,1853436,26814,617924,4231,731378,282835,8558895,1061131,7497764,5184562,2707353,1023005,271598,96485,55137
"18","04000US18","Indiana","Indiana","in","040","00","ACSSF","0000001",,,,,"18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6537334,5513003,598171,16295,107736,2824,157490,141815,4278945,532518,3746427,2235625,1002109,358899,99029,43157,46974
"19","04000US19","Iowa","Iowa","ia","040","00","ACSSF","0000001",,,,,"19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3074186,2817947,91660,8153,56519,2260,37670,59977,2036993,171338,1865655,1208013,536320,167989,50481,20738,50957
"20","04000US20","Kansas","Kansas","ks","040","00","ACSSF","0000001",,,,,"20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2885905,2468884,167414,26087,71821,2263,57943,91493,1863224,182199,1681025,1171621,566242,203343,53475,20097,50241
"21","04000US21","Kentucky","Kentucky","ky","040","00","ACSSF","0000001",,,,,"21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4380415,3844617,344584,8141,55397,2149,38316,87211,2935461,476805,2458656,1457900,639145,260166,74860,28258,41724
"22","04000US22","Louisiana","Louisiana","la","040","00","ACSSF","0000001",,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4601893,2891506,1483239,25551,72216,2209,48697,78475,3006605,510690,2495915,1465950,660068,226845,71563,26117,42944
"23","04000US23","Maine","Maine","me","040","00","ACSSF","0000001",,,,,"23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1329192,1264328,13614,8066,14414,156,2509,26105,947017,79728,867289,538022,264729,93280,27369,11276,46709
"24","04000US24","Maryland","Maryland","md","040","00","ACSSF","0000001",,,,,"24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5884563,3417690,1720936,17171,339527,2637,202979,183623,3972135,433833,3538302,2503249,1466987,671057,210106,94884,71122
"25","04000US25","Massachusetts","Massachusetts","ma","040","00","ACSSF","0000001",,,,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6646144,5323896,473527,13230,381262,900,269542,183787,4556609,471324,4085285,2903363,1789945,778232,236909,104415,65339
"26","04000US26","Michigan","Michigan","mi","040","00","ACSSF","0000001",,,,,"26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9883360,7840426,1388360,56356,248093,1829,93952,254344,6621018,715558,5905460,3881265,1723403,661293,171268,67420,46859
"27","04000US27","Minnesota","Minnesota","mn","040","00","ACSSF","0000001",,,,,"27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5379139,4596694,287165,56230,226902,2336,73363,136449,3600744,270170,3330574,2378433,1195340,387714,114936,42833,58906
"28","04000US28","Mississippi","Mississippi","ms","040","00","ACSSF","0000001",,,,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2984926,1768736,1123620,12591,23923,399,22805,32852,1911968,338365,1573603,989461,395016,145697,39751,15722,37095
"29","04000US29","Missouri","Missouri","mo","040","00","ACSSF","0000001",,,,,"29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6021988,4981999,691631,28000,102180,4480,70872,142826,4023641,484404,3539237,2266460,1062670,392282,107651,42330,45321
"30","04000US30","Montana","Montana","mt","040","00","ACSSF","0000001",,,,,"30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005141,896467,3605,65148,6442,1183,6526,25770,686770,49467,637303,433088,201929,63067,20448,7426,45076
"31","04000US31","Nebraska","Nebraska","ne","040","00","ACSSF","0000001",,,,,"31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855525,1634952,85483,15818,36670,1227,42754,38621,1206908,114623,1092285,757935,349662,116608,32746,12716,50723
"32","04000US32","Nevada","Nevada","nv","040","00","ACSSF","0000001",,,,,"32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2758931,1922203,227696,31415,207736,18441,236992,114448,1840642,278202,1562440,1032905,411797,138951,43292,15471,49760
"33","04000US33","New Hampshire","New Hampshire","nh","040","00","ACSSF","0000001",,,,,"33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320718,1241905,16515,2321,29743,191,5827,24216,919883,75297,844586,573896,317891,116087,28931,13567,63280
"34","04000US34","New Jersey","New Jersey","nj","040","00","ACSSF","0000001",,,,,"34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8864590,6111675,1207688,21574,775176,2606,523067,222804,6049352,709751,5339601,3602027,2192183,832574,235145,87198,69667
"35","04000US35","New Mexico","New Mexico","nm","040","00","ACSSF","0000001",,,,,"35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085538,1499853,42843,192903,27714,1431,255095,65699,1360330,211788,1148542,788215,355288,152736,45769,23525,42558
"36","04000US36","New York","New York","ny","040","00","ACSSF","0000001",,,,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19570261,12767396,3046610,73392,1498346,7456,1644049,533012,13309761,1954719,11355042,7775066,4443762,1912388,540827,181715,56448
"37","04000US37","North Carolina","North Carolina","nc","040","00","ACSSF","0000001",,,,,"37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9752073,6817441,2107908,113280,227727,5568,255939,224210,6489883,962451,5527432,3766728,1775858,605802,169744,77594,45150
"38","04000US38","North Dakota","North Dakota","nd","040","00","ACSSF","0000001",,,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699628,626192,10202,37301,6737,1190,3916,14090,457904,37965,419939,291629,127875,38246,13083,5580,53585
"39","04000US39","Ohio","Ohio","oh","040","00","ACSSF","0000001",,,,,"39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11544225,9547022,1413110,21692,200878,4101,91448,265974,7770716,871251,6899465,4212068,1961312,720565,192156,75611,46829
"40","04000US40","Oklahoma","Oklahoma","ok","040","00","ACSSF","0000001",,,,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3814820,2805612,272820,278028,70527,3925,89408,294500,2487456,331560,2155896,1369621,591307,197377,55375,22280,44312
"41","04000US41","Oregon","Oregon","or","040","00","ACSSF","0000001",,,,,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3899353,3321591,69719,47066,149455,16415,138756,156351,2671772,270612,2401160,1730981,799454,302324,89864,35682,49161
"42","04000US42","Pennsylvania","Pennsylvania","pa","040","00","ACSSF","0000001",,,,,"42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12763536,10456819,1400003,21310,368996,7135,245676,263597,8756317,969349,7786968,4566091,2435534,951229,285730,119131,51230
"44","04000US44","Rhode Island","Rhode Island","ri","040","00","ACSSF","0000001",,,,,"44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050292,857897,67840,4809,33814,201,56524,29207,712271,98769,613502,414963,223743,90840,25958,11126,54554
"45","04000US45","South Carolina","South Carolina","sc","040","00","ACSSF","0000001",,,,,"45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4723723,3165844,1307087,15317,59956,1738,79046,94735,3151616,477291,2674325,1736527,791022,286986,74864,31282,43107
"46","04000US46","South Dakota","South Dakota","sd","040","00","ACSSF","0000001",,,,,"46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833354,711562,13055,73305,9537,460,7755,17680,544292,51516,492776,314770,142951,44232,14518,7030,48362
"47","04000US47","Tennessee","Tennessee","tn","040","00","ACSSF","0000001",,,,,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6456243,5036564,1091759,17594,96086,2618,93258,118364,4336473,644220,3692253,2258611,1052804,372518,114554,45255,42764
"48","04000US48","Texas","Texas","tx","040","00","ACSSF","0000001",,,,,"48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26059203,19546170,3099425,126041,1052002,21938,1599204,614423,16390379,3042296,13348083,9223586,4384080,1480786,404206,164154,50740
"49","04000US49","Utah","Utah","ut","040","00","ACSSF","0000001",,,,,"49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2855287,2514908,31797,31448,62575,25765,119195,69599,1641335,147511,1493824,1115361,504521,170574,50783,23256,57049
"50","04000US50","Vermont","Vermont","vt","040","00","ACSSF","0000001",,,,,"50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626011,595252,6411,2165,8234,0,1349,12600,434948,36269,398679,266157,155505,60385,17809,7664,52977
"51","04000US51","Virginia","Virginia","va","040","00","ACSSF","0000001",,,,,"51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8185867,5661067,1576258,23022,469669,5008,187150,263693,5504766,666208,4838558,3446267,1951504,819178,222324,88672,61741
"53","04000US53","Washington","Washington","wa","040","00","ACSSF","0000001",,,,,"53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6897012,5402912,248631,95015,509565,41156,255271,344462,4645859,446094,4199765,3098538,1471515,526884,154815,63240,57573
"54","04000US54","West Virginia","West Virginia","wv","040","00","ACSSF","0000001",,,,,"54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855413,1738148,61306,2636,12173,717,4404,36029,1296201,200806,1095395,569163,241684,94427,28067,9683,40196
"55","04000US55","Wisconsin","Wisconsin","wi","040","00","ACSSF","0000001",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5726398,4967566,359317,52161,135815,1066,96143,114330,3854170,356531,3497639,2249628,1046153,358151,102689,41201,51059
"56","04000US56","Wyoming","Wyoming","wy","040","00","ACSSF","0000001",,,,,"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576412,523798,5720,12375,5637,78,11161,17643,380942,31654,349288,233657,94278,29869,8906,4440,54901
"72","04000US72","Puerto Rico","Puerto Rico","pr","040","00","ACSSF","0000001",,,,,"72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3667084,2536665,304289,13043,13723,120,351940,447304,2432137,666633,1765504,1114854,589105,160327,47298,19781,19429
